"State","Year","AnnualAVG","AnnualAVG_percent","Population 18-24","Population 25-44","Population 45-64","Male Population","White Alone","Hispanic","GDP","Description","MinWage","Median Income","Population","PopulationMillions","Region","TreatYear","Treated"
"California",2002,16082531,62.1333333333333,3557190,10725588,7531818,17373381,"26874787","11705795",87507185,"All industry total ",6.75,78340,34871.843,34.871843,"W",2016,0
"California",2003,16080423.25,61.35,3608183,10697022,7797979,17543650,"27053595","12030015",89259687,"All industry total ",6.75,79760,35253.159,35.253159,"W",2016,0
"California",2004,16289776.0833333,61.45,3661991,10675493,8035211,17703161,"27181516","12335567",96709884,"All industry total ",6.75,77690,35574.576,35.574576,"W",2016,0
"California",2005,16594411.1666667,61.9916666666667,3684405,10619001,8279719,17831713,"27239976","12619831",101810345,"All industry total ",6.75,79380,35827.943,35.827943,"W",2016,0
"California",2006,16795757.9166667,62.175,3700882,10578738,8498120,17923731,"27242743","12876105",113024002,"All industry total ",6.75,82460,36021.202,36.021202,"W",2016,0
"California",2007,16957627.25,62.175,3742151,10519395,8705909,18035385,"27274909","13136305",118472950,"All industry total ",7.5,81000,36250.311,36.250311,"W",2016,0
"California",2008,16853397.5,61.05,3812579,10505976,8907401,18207365,"27402890","13447993",126381937,"All industry total ",8,79930,36604.337,36.604337,"W",2016,0
"California",2009,16199206.0833333,57.9666666666667,3882345,10493897,9125993,18378154,"27529082","13759867",121779413,"All industry total ",8,79010,36961.229,36.961229,"W",2016,0
"California",2010,16080104.3333333,56.3583333333333,3931634,10508838,9325168,18546274,"27665770","14060961",125260571,"All industry total ",8,75370,37319.55,37.31955,"W",2016,0
"California",2011,16218318.9166667,56.0083333333333,3968854,10562598,9468396,18694789,"27812396","14266621",133148206,"All industry total ",8,71870,37636.311,37.636311,"W",2016,0
"California",2012,16543573.9166667,56.475,4004175,10634120,9522096,18847274,"27952190","14449375",130636313,"All industry total ",8,75340,37944.551,37.944551,"W",2016,0
"California",2013,16892033.3333333,57.0083333333333,4002901,10728060,9597139,18996586,"28078052","14629407",140296155,"All industry total ",8,79360,38253.768,38.253768,"W",2016,0
"California",2014,17264825.0833333,57.625,3981004,10841299,9679642,19164689,"28209869","14811923",149713674,"All industry total ",9,77850,38586.706,38.586706,"W",2016,0
"California",2015,17649562.0833333,58.2833333333333,3921766,10957584,9770376,19328315,"28316294","14987776",159813802,"All industry total ",9,81970,38904.296,38.904296,"W",2016,0
"California",2016,17965090.9166667,58.7666666666667,3842114,11083646,9826109,19453155,"28376604","15151999",159740464,"All industry total ",10,85080,39149.186,39.149186,"W",2016,1
"California",2017,18255624.8333333,59.25,3776182,11194835,9840208,19553823,"28386645","15291922",166139369,"All industry total ",10.5,87880,39337.785,39.337785,"W",2016,1
"California",2018,18467258.9166667,59.65,3730501,11275923,9810706,19607822,"28344812","15402735",181736911,"All industry total ",11,86690,39437.463,39.437463,"W",2016,1
"California",2019,18620301.6666667,59.95,3670199,11321314,9745593,19608525,"28233838","15488144",206044561,"All industry total ",12,94660,39437.61,39.43761,"W",2016,1
"California",2020,17041823.25,54.6666666666667,3620371,11326422,9826525,19765171,"28174414","15598278",136413210,"All industry total ",12,93140,39521.958,39.521958,"W",2016,1
"California",2021,17587983.1666667,56.5666666666667,3474349,11235533,9721774,19559536,"27812160","15619941",154532548,"All industry total ",13,93660,39142.565,39.142565,"W",2016,1
"California",2022,18437955.8333333,59.3,3566274,11210921,9621360,19546664,"27649459","15730453",235035741,"All industry total ",14,90930,39142.414,39.142414,"W",2016,1
"Colorado",2000,2293976.5,70.2666666666667,433665,1404449,963845,2179179,"3924356","745292",10172808,"All industry total ",5.15,82480,4326.921,4.326921,"W",2012,0
"Colorado",2001,2304235.08333333,68.8666666666667,453712,1412620,1007267,2229982,"4003807","783269",10380036,"All industry total ",5.15,82600,4425.687,4.425687,"W",2012,0
"Colorado",2002,2310114.58333333,67.8333333333333,464101,1406914,1049321,2261741,"4052788","817023",11140945,"All industry total ",5.15,79760,4490.406,4.490406,"W",2012,0
"Colorado",2003,2338144.25,67.7416666666667,466666,1387655,1089599,2275518,"4080217","842340",11051324,"All industry total ",5.15,80790,4528.732,4.528732,"W",2012,0
"Colorado",2004,2397119.25,68.675,471390,1381778,1125413,2300502,"4110950","864744",12073428,"All industry total ",5.15,80310,4575.013,4.575013,"W",2012,0
"Colorado",2005,2442173.58333333,68.8416666666667,472661,1372686,1168558,2323650,"4153715","892419",12906831,"All industry total ",5.15,77380,4631.888,4.631888,"W",2012,0
"Colorado",2006,2528010.91666667,69.8083333333333,477387,1380451,1211687,2367463,"4222448","923306",13742723,"All industry total ",5.15,83020,4720.423,4.720423,"W",2012,0
"Colorado",2007,2589011.66666667,70.1083333333333,475931,1391221,1252323,2407435,"4287008","954181",14634120,"All industry total ",6.85,88860,4803.868,4.803868,"W",2012,0
"Colorado",2008,2601252.5,69.05,481504,1404254,1286548,2450670,"4351612","984899",14707243,"All industry total ",7.02,85440,4889.73,4.88973,"W",2012,0
"Colorado",2009,2516161.25,65.5666666666667,485310,1415641,1319651,2491485,"4411960","1015491",14322556,"All industry total ",7.28,78730,4972.195,4.972195,"W",2012,0
"Colorado",2010,2467390.41666667,63.7666666666667,489462,1430761,1345618,2529590,"4464394","1044571",16733780,"All industry total ",7.24,83640,5047.539,5.047539,"W",2012,0
"Colorado",2011,2493001.08333333,63.5166666666667,496964,1452593,1364258,2566778,"4522379","1069628",17334897,"All industry total ",7.36,78960,5121.9,5.1219,"W",2012,0
"Colorado",2012,2530540.5,63.35,502313,1476052,1367509,2603488,"4576592","1088444",16334006,"All industry total ",7.64,75650,5193.66,5.19366,"W",2012,1
"Colorado",2013,2580125.08333333,63.4666666666667,509136,1500437,1376335,2643323,"4634362","1108710",16926409,"All industry total ",7.78,88650,5270.774,5.270774,"W",2012,1
"Colorado",2014,2660999.58333333,64.2333333333333,515510,1525866,1387174,2687056,"4696061","1131377",17881992,"All industry total ",8,78430,5352.637,5.352637,"W",2012,1
"Colorado",2015,2720563.5,64.2666666666667,520848,1563989,1403230,2741296,"4773481","1158286",18553619,"All industry total ",8.23,85780,5454.328,5.454328,"W",2012,1
"Colorado",2016,2803216.66666667,64.85,522781,1600542,1416650,2788777,"4841849","1182889",19683770,"All industry total ",8.31,90090,5543.844,5.543844,"W",2012,1
"Colorado",2017,2885497.25,65.9166666666667,522167,1637304,1420747,2827772,"4896891","1207176",21285970,"All industry total ",9.3,94080,5617.421,5.617421,"W",2012,1
"Colorado",2018,2961264,66.5166666666667,524520,1679349,1420774,2868175,"4955043","1234141",22862953,"All industry total ",10.2,89820,5697.155,5.697155,"W",2012,1
"Colorado",2019,3023020,66.8833333333333,527423,1712466,1418399,2900876,"5000945","1255050",24449622,"All industry total ",11.1,87870,5758.486,5.758486,"W",2012,1
"Colorado",2020,2879192.58333333,62.7583333333333,529946,1724362,1420942,2931014,"5016074","1268600",10650654,"All industry total ",12,100500,5787.129,5.787129,"W",2012,1
"Colorado",2021,2986563.25,64.4166666666667,528184,1745841,1412426,2944362,"5026657","1289481",17021161,"All industry total ",12.32,97540,5814.036,5.814036,"W",2012,1
"Colorado",2022,3103401.41666667,66.3,538577,1771256,1400010,2962731,"5041632","1315930",30216084,"All industry total ",12.56,95870,5850.935,5.850935,"W",2012,1
"Connecticut",2000,1723176.08333333,66.4,272527,1031174,795082,1652459,"2936355","323852",11444165,"All industry total ",6.15,85780,3411.777,3.411777,"NE",2021,0
"Connecticut",2001,1698723.41666667,65.05,278499,1017477,820033,1663876,"2943314","338119",11438165,"All industry total ",6.4,89200,3432.835,3.432835,"NE",2021,0
"Connecticut",2002,1698036.41666667,64.5166666666667,285757,1006189,846241,1678249,"2952581","353717",11740322,"All industry total ",6.7,88170,3458.749,3.458749,"NE",2021,0
"Connecticut",2003,1688269.83333333,63.675,292790,993386,872795,1690868,"2961169","369302",12600389,"All industry total ",6.9,88920,3484.336,3.484336,"NE",2021,0
"Connecticut",2004,1686496.08333333,63.2833333333333,298738,976914,896836,1698016,"2959756","382912",13005191,"All industry total ",7.1,86960,3496.094,3.496094,"NE",2021,0
"Connecticut",2005,1708318.91666667,63.8,306038,959888,921577,1704888,"2956769","396323",13562079,"All industry total ",7.1,87180,3506.956,3.506956,"NE",2021,0
"Connecticut",2006,1749854.25,64.95,310891,944217,946705,1709785,"2952473","412867",13617508,"All industry total ",7.4,93020,3517.46,3.51746,"NE",2021,0
"Connecticut",2007,1773432.58333333,65.5,315199,930413,966634,1715653,"2947983","429328",14394172,"All industry total ",7.65,93220,3527.27,3.52727,"NE",2021,0
"Connecticut",2008,1772158.75,64.9833333333333,320268,923555,982536,1724830,"2950893","446776",14358304,"All industry total ",7.65,90680,3545.579,3.545579,"NE",2021,0
"Connecticut",2009,1731615.91666667,63.0416666666667,325143,911836,1003524,1733028,"2950870","465486",14412639,"All industry total ",8,91280,3561.807,3.561807,"NE",2021,0
"Connecticut",2010,1728400.91666667,61.775,331063,902635,1022360,1742350,"2952630","482401",14507895,"All industry total ",8.25,91640,3579.173,3.579173,"NE",2021,0
"Connecticut",2011,1741785.58333333,61.55,336938,894983,1034774,1747728,"2949902","496817",15145925,"All industry total ",8.25,88100,3588.632,3.588632,"NE",2021,0
"Connecticut",2012,1730017.83333333,60.7916666666667,341657,889488,1033473,1751542,"2943568","510995",16956314,"All industry total ",8.25,84880,3595.211,3.595211,"NE",2021,0
"Connecticut",2013,1719711.33333333,60.2,345969,883307,1033622,1752602,"2933936","523790",17144316,"All industry total ",8.25,90450,3595.792,3.595792,"NE",2021,0
"Connecticut",2014,1764020.58333333,61.5166666666667,350574,876005,1033004,1753445,"2921451","536001",17852811,"All industry total ",8.7,90300,3595.697,3.595697,"NE",2021,0
"Connecticut",2015,1785889.41666667,62.1666666666667,351745,867785,1031897,1750359,"2902891","546931",17799051,"All industry total ",9.15,93880,3588.561,3.588561,"NE",2021,0
"Connecticut",2016,1801259.16666667,62.6583333333333,351264,861549,1027638,1745932,"2884727","558687",17855496,"All industry total ",9.6,96930,3579.83,3.57983,"NE",2021,0
"Connecticut",2017,1838398.83333333,63.3666666666667,349881,862731,1018984,1743821,"2868631","573050",18409974,"All industry total ",10.1,93230,3575.324,3.575324,"NE",2021,0
"Connecticut",2018,1848858.5,63.5333333333333,346390,870299,1006802,1743201,"2855565","590328",19967381,"All industry total ",10.1,89550,3574.561,3.574561,"NE",2021,0
"Connecticut",2019,1869061.66666667,64.1583333333333,342163,875486,990388,1739032,"2835463","601081",20146261,"All industry total ",11,105800,3566.022,3.566022,"NE",2021,0
"Connecticut",2020,1733863.58333333,59.5,324393,889175,996407,1757393,"2833201","623606",11541259,"All industry total ",12,95280,3579.918,3.579918,"NE",2021,0
"Connecticut",2021,1739109.25,59.2166666666667,338573,904955,981878,1769229,"2842729","639944",14773103,"All industry total ",13,92950,3606.607,3.606607,"NE",2021,1
"Connecticut",2022,1852627.16666667,62.875,338393,914870,966620,1774717,"2833539","660096",21401750,"All industry total ",14,96720,3617.925,3.617925,"NE",2021,1
"Delaware",2000,398219,66.675,75953,236255,177082,381926,"602544","37834",1878670,"All industry total ",5.65,86110,786.373,0.786373,"S",2023,0
"Delaware",2001,406364.583333333,67.1916666666667,78530,233890,183805,386350,"605604","40908",1627160,"All industry total ",6.15,82940,795.699,0.795699,"S",2023,0
"Delaware",2002,399441.416666667,65.15,80679,232409,191073,391517,"609830","44187",1740448,"All industry total ",6.15,82000,806.169,0.806169,"S",2023,0
"Delaware",2003,397329.083333333,63.85,82204,231993,198707,397201,"614839","47599",1888548,"All industry total ",6.15,79300,818.003,0.818003,"S",2023,0
"Delaware",2004,402907.916666667,63.675,82812,232563,206390,403483,"620674","51274",2485229,"All industry total ",6.15,75830,830.803,0.830803,"S",2023,0
"Delaware",2005,413863.25,64.1583333333333,83750,232763,214570,409923,"626708","55375",2568213,"All industry total ",6.15,78590,845.15,0.84515,"S",2023,0
"Delaware",2006,425917.166666667,64.7916666666667,84759,232516,222436,416502,"632832","59478",2675372,"All industry total ",6.15,78160,859.268,0.859268,"S",2023,0
"Delaware",2007,429295.25,64.2583333333333,86897,231339,229153,422351,"637429","63149",2717989,"All industry total ",6.65,79340,871.749,0.871749,"S",2023,0
"Delaware",2008,427616.25,63.0583333333333,88587,230357,235098,428393,"642053","66725",2561531,"All industry total ",7.15,71080,883.874,0.883874,"S",2023,0
"Delaware",2009,401840.916666667,58.5666666666667,89792,228638,240336,431935,"643755","70815",2565967,"All industry total ",7.15,73350,891.73,0.89173,"S",2023,0
"Delaware",2010,398517.083333333,56.8666666666667,90985,227400,245632,435673,"646381","73735",2711033,"All industry total ",7.25,76670,899.647,0.899647,"S",2023,0
"Delaware",2011,410050.083333333,57.65,92080,227363,249539,439347,"649122","75971",2685535,"All industry total ",7.25,73610,907.59,0.90759,"S",2023,0
"Delaware",2012,414521.333333333,57.6333333333333,92791,227561,250139,443394,"652586","77899",2884899,"All industry total ",7.25,64700,915.518,0.915518,"S",2023,0
"Delaware",2013,414377.833333333,56.9583333333333,91815,230086,251207,447252,"655565","79520",3032460,"All industry total ",7.25,70610,924.062,0.924062,"S",2023,0
"Delaware",2014,427332.75,57.975,89637,232978,252938,451683,"659123","81436",3364549,"All industry total ",7.75,74040,933.131,0.933131,"S",2023,0
"Delaware",2015,440695.916666667,59.0666666666667,87163,235315,255290,456021,"661926","83478",3468515,"All industry total ",8.25,74390,942.065,0.942065,"S",2023,0
"Delaware",2016,447725.333333333,59.35,85192,236361,257286,459497,"664593","85558",3704316,"All industry total ",8.25,74110,949.989,0.949989,"S",2023,0
"Delaware",2017,453936.25,59.4083333333333,84052,237793,257728,463336,"667360","88549",3856938,"All industry total ",8.25,81510,957.942,0.957942,"S",2023,0
"Delaware",2018,462434.916666667,59.825,83341,240013,257830,467559,"670278","91407",4161292,"All industry total ",8.25,79960,966.985,0.966985,"S",2023,0
"Delaware",2019,467142.333333333,59.6583333333333,82877,243112,256961,472097,"673449","94154",4361897,"All industry total ",9.25,89920,976.668,0.976668,"S",2023,0
"Delaware",2020,449871.166666667,56.5416666666667,83063,246550,259953,481508,"681387","104764",2642056,"All industry total ",9.25,83990,991.928,0.991928,"S",2023,0
"Delaware",2021,466885.333333333,57.7333333333333,84614,249921,260260,487575,"687551","107652",3072769,"All industry total ",9.25,78860,1005.062,1.005062,"S",2023,0
"Delaware",2022,474324.666666667,57.75,86310,253214,259893,494394,"693306","111828",4817716,"All industry total ",10.5,86090,1020.625,1.020625,"S",2023,0
"Florida",2006,8706253,61.4833333333333,1652892,4804621,4682231,8886910,"14485480","3713980",71469819,"All industry total ",6.4,68080,18166.99,18.16699,"S",NA,0
"Florida",2007,8814834.58333333,61.4666666666667,1687966,4794919,4800683,8989255,"14593854","3872136",74592070,"All industry total ",6.67,66550,18367.842,18.367842,"S",NA,0
"Florida",2008,8634203.83333333,59.65,1717154,4764109,4892666,9062026,"14667399","4009162",72005740,"All industry total ",6.79,62890,18527.305,18.527305,"S",NA,0
"Florida",2009,8130451.91666667,55.725,1731012,4728842,4989792,9118355,"14720593","4124307",67447231,"All industry total ",7.21,64230,18652.644,18.652644,"S",NA,0
"Florida",2010,8156247.91666667,54.5916666666667,1744974,4726597,5098599,9212261,"14833341","4250548",66597607,"All industry total ",7.25,61190,18846.143,18.846143,"S",NA,0
"Florida",2011,8333318.83333333,54.7833333333333,1767678,4752694,5175676,9319031,"14945414","4369147",65040433,"All industry total ",7.25,60740,19055.607,19.055607,"S",NA,0
"Florida",2012,8529774.08333333,55.25,1782712,4808569,5194476,9437047,"15092476","4493289",65978223,"All industry total ",7.67,60870,19302.016,19.302016,"S",NA,0
"Florida",2013,8708972.58333333,55.5583333333333,1792012,4869333,5230391,9560101,"15251100","4632674",68631941,"All industry total ",7.79,63350,19551.678,19.551678,"S",NA,0
"Florida",2014,8931062.16666667,56.0083333333333,1783084,4952264,5292098,9707653,"15453163","4779720",70075770,"All industry total ",7.93,59390,19853.88,19.85388,"S",NA,0
"Florida",2015,9108452.83333333,56.0083333333333,1766350,5055996,5378693,9888249,"15709518","4951209",72539418,"All industry total ",8.05,62890,20219.111,20.219111,"S",NA,0
"Florida",2016,9360140.66666667,56.3416666666667,1752476,5170022,5475756,10087052,"15999452","5144983",76595821,"All industry total ",8.05,65340,20627.237,20.627237,"S",NA,0
"Florida",2017,9543835.33333333,56.75,1747396,5269612,5546511,10256426,"16242139","5331295",81875082,"All industry total ",8.1,66610,20977.089,20.977089,"S",NA,0
"Florida",2018,9748188.83333333,57.1166666666667,1749572,5346797,5587578,10391264,"16429818","5496345",87336252,"All industry total ",8.25,67210,21254.926,21.254926,"S",NA,0
"Florida",2019,9952867.16666667,57.6166666666667,1744518,5411137,5608338,10504982,"16585364","5621362",91434471,"All industry total ",8.46,70740,21492.056,21.492056,"S",NA,0
"Florida",2020,9288393.91666667,53.05,1742477,5422442,5659470,10607009,"16617821","5714684",50578184,"All industry total ",8.56,69280,21592.035,21.592035,"S",NA,0
"Florida",2021,9873241.5,55.5416666666667,1764172,5481738,5681959,10722008,"16785530","5819876",67499696,"All industry total ",10,68580,21831.949,21.831949,"S",NA,0
"Florida",2022,10446708.9166667,57.6,1802130,5659934,5765699,10992530,"17177930","6093009",113115555,"All industry total ",10,69680,22379.312,22.379312,"S",NA,0
"Georgia",2000,4055573.66666667,66.55,844819,2656884,1760584,4047070,"5556989","441576",18853250,"All industry total ",3.25,71640,8227.303,8.227303,"S",NA,0
